
+-------------------------------+-------------------+-------------------+----------------------+-----------+----------+-----------+----------+------------+----------+-------+-----------+----------+-----------+-----------+-----------+-----------+------------+----------+----------+----------+----------+---------+-----------+----------+------------+----------------+---------------+----------------+-----------+----------------+----------------+----------------+
| DR2Name                       | RA_ICRS           | DE_ICRS           | Source               | Plx       | e_Plx    | pmRA      | e_pmRA   | pmDE       | e_pmDE   | Dup   | Gmag      | e_Gmag   | BPmag     | e_BPmag   | RPmag     | e_RPmag   | E(BR/RP)   | BP-RP    | BP-G     | G-RP     | RV       | e_RV    | Teff      | AG       | E(BP-RP)   | x              | y             | z              | mass      | u              | v              | w              |
+-------------------------------+-------------------+-------------------+----------------------+-----------+----------+-----------+----------+------------+----------+-------+-----------+----------+-----------+-----------+-----------+-----------+------------+----------+----------+----------+----------+---------+-----------+----------+------------+----------------+---------------+----------------+-----------+----------------+----------------+----------------+
| Gaia DR2 101283987497967360   | 033.06481981710   | +23.95751342969   | 101283987497967360   | 31.1694   | 0.0568   | 128.067   | 0.094    | -160.541   | 0.092    | 0     | 7.7490    | 0.0009   | 8.1173    | 0.0086    | 7.1503    | 0.0245    | 1.262      | 0.9670   | 0.3683   | 0.5987   | 0.29     | 0.23    | 5287.50   | 0.1290   | 0.0490     | -21.622888     | 14.75641866   | -18.54719588   | 1.10347   | -2.143174726   | -12.54457634   | -5.337538679   |
| Gaia DR2 110365098841874944   | 047.80793441791   | +22.41532552362   | 110365098841874944   | 19.7241   | 0.0433   | 55.652    | 0.088    | -125.119   | 0.064    | 0     | 8.3326    | 0.0012   | 8.6786    | 0.0040    | 7.8605    | 0.0041    | 1.191      | 0.8181   | 0.3459   | 0.4721   | 4.44     | 0.40    | 5866.75   | 0.0447   | 0.0210     | -41.41116078   | 14.54791632   | -25.37513388   | 1.19778   | -5.074498852   | -13.55630179   | -9.146197801   |
| Gaia DR2 110924230568310272   | 048.90375849069   | +23.61357323284   | 110924230568310272   | 4.8901    | 0.0455   | 11.632    | 0.089    | -26.976    | 0.065    | 0     | 9.1975    | 0.0002   | 9.5126    | 0.0009    | 8.7539    | 0.0009    | 1.19       | 0.7587   | 0.3151   | 0.4437   | 6.27     | 0.31    | 5817.00   |          |            | -169.7256433   | 59.23298008   | -97.48407081   | 1.88857   | -3.51087673    | -8.888533849   | -8.246216903   |
| Gaia DR2 111721552594418304   | 047.40077136756   | +24.90663489410   | 111721552594418304   | 7.9029    | 0.0380   | 24.401    | 0.082    | -47.497    | 0.060    | 0     | 12.1226   | 0.0010   | 12.7171   | 0.0031    | 11.4107   | 0.0026    | 1.245      | 1.3064   | 0.5946   | 0.7118   | 4.94     | 3.85    | 4842.69   | 0.0300   | 0.0127     | -103.835421    | 40.61025583   | -59.83702349   | 0.85234   | -2.627526136   | -12.5640082    | -8.229254586   |
| Gaia DR2 112256980396927360   | 047.96919558583   | +25.84447734827   | 112256980396927360   | 7.0786    | 0.0470   | 25.790    | 0.106    | -41.319    | 0.073    | 0     | 9.3209    | 0.0003   | 9.5905    | 0.0010    | 8.9271    | 0.0012    | 1.184      | 0.6634   | 0.2697   | 0.3938   | -4.16    | 0.96    | 6187.13   | 0.2655   | 0.1432     | -116.9535667   | 46.05408019   | -64.48431266   | 1.53232   | -8.225165074   | -16.63514407   | -2.09991635    |
| Gaia DR2 113538083240858240   | 042.52829555953   | +24.82461465257   | 113538083240858240   | 4.3920    | 0.0453   | 14.684    | 0.071    | -24.439    | 0.070    | 0     | 10.9039   | 0.0004   | 11.2925   | 0.0013    | 10.3794   | 0.0004    | 1.203      | 0.9131   | 0.3886   | 0.5245   | 3.32     | 0.35    | 5524.50   |          |            | -176.6131033   | 84.51674097   | -116.2143191   | 1.36058   | -2.804657185   | -11.6349937    | -6.895257866   |
| Gaia DR2 115474112763499136   | 046.71708013421   | +26.85414074558   | 115474112763499136   | 9.3846    | 0.0543   | 34.490    | 0.119    | -51.474    | 0.099    | 0     | 12.2464   | 0.0005   | 12.9414   | 0.0020    | 11.4618   | 0.0014    | 1.264      | 1.4796   | 0.6950   | 0.7846   | 0.51     | 0.78    | 4484.50   | 0.0540   | 0.0685     | -87.31306513   | 37.37545412   | -48.31215137   | 0.78186   | -3.561432693   | -13.75496178   | -3.549387466   |
| Gaia DR2 116961034738233728   | 044.94857746882   | +28.90091294505   | 116961034738233728   | 4.8503    | 0.0431   | 16.729    | 0.070    | -28.970    | 0.058    | 0     | 11.8188   | 0.0009   | 12.2325   | 0.0014    | 11.2614   | 0.0021    | 1.213      | 0.9711   | 0.4137   | 0.5574   | -2.72    | 2.25    | 5412.33   | 0.0375   | 0.0220     | -166.5963488   | 80.82809099   | -90.66118553   | 1.098     | -6.14616487    | -15.15420003   | -5.392537148   |
| Gaia DR2 117215807902051200   | 050.79050948681   | +25.69930862704   | 117215807902051200   | 7.4637    | 0.0381   | 23.082    | 0.074    | -44.680    | 0.053    | 0     | 12.7935   | 0.0013   | 13.5008   | 0.0049    | 11.9946   | 0.0034    | 1.271      | 1.5062   | 0.7074   | 0.7988   | -0.43    | 5.96    | 4346.77   | 0.1560   | 0.0838     | -114.004816    | 39.49867047   | -58.25562741   | 0.77488   | -6.913019893   | -14.561353     | -4.790201073   |
